movie_id,title,movie_link,year,duration,genre,description,director,actors,rating
1935,Summer Of Sam,https://www.imdb.com/title/tt0162677/,1999,142,"Crime, Drama, Romance","Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American Northeast Bronx neighborhood who live in fear and distrust of one another.",Spike Lee,"John Leguizamo, Adrien Brody, Mira Sorvino, Jennifer Esposito",6.7
1936,In Dreams,https://www.imdb.com/title/tt0120710/,1999,100,"Drama, Fantasy, Thriller","A suburban housewife learns that she has a dreamworld connection to a serial murderer, and must stop him from killing again.",Neil Jordan,"Annette Bening, Robert Downey Jr., Katie Sagona, Aidan Quinn",5.5
1937,The Astronaut'S Wife,https://www.imdb.com/title/tt0138304/,1999,109,"Drama, Sci-Fi, Thriller","After an explosion in space and subsequent two-minute radio-out period, two astronauts return home to their wives. Slightly it's revealed that they're not the same as they were.",Rand Ravich,"Charlize Theron, Johnny Depp, Joe Morton, Clea DuVall",5.4
1938,Blue Streak,https://www.imdb.com/title/tt0181316/,1999,93,"Action, Comedy, Crime",A former convict poses as a cop to retrieve a diamond he stole years ago.,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle",6.3
1939,"Mystery, Alaska",https://www.imdb.com/title/tt0134618/,1999,119,"Comedy, Drama, Sport",This comedy is about the residents of a small town who get over-excited when their hockey team gets chosen to host a televised event,Jay Roach,"Russell Crowe, Burt Reynolds, Hank Azaria, Mary McCormack",6.7
1940,Stir Of Echoes,https://www.imdb.com/title/tt0164181/,1999,99,"Horror, Mystery, Thriller","After being hypnotized by his sister-in-law, a man begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around him.",David Koepp,"Kevin Bacon, Zachary David Cope, Kathryn Erbe, Illeana Douglas",7
1941,Inspector Gadget,https://www.imdb.com/title/tt0141369/,1999,78,"Action, Adventure, Comedy",A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,David Kellogg,"Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg",4.2
1942,Joan Of Arc,https://www.imdb.com/title/tt0151137/,1999,158,"Adventure, Biography, Drama",A young girl receives a vision that drives her to rid France of its oppressors.,Luc Besson,"Milla Jovovich, John Malkovich, Rab Affleck, Stéphane Algoud",6.4
1943,Titus,https://www.imdb.com/title/tt0120866/,1999,162,"Drama, History, Thriller","Titus returns victorious from war, only to plant the seeds of future turmoil for himself and his family.",Julie Taymor,"Anthony Hopkins, Jessica Lange, Osheen Jones, Dario D'Ambrosi",7.1
1944,The Best Man,https://www.imdb.com/title/tt0168501/,1999,120,"Comedy, Drama, Romance","Just before best friend's wedding, the life of Chicago writer becomes crazy when the friend guesses that new book's story based on his bride's fervent past.",Malcolm D. Lee,"Taye Diggs, Nia Long, Morris Chestnut, Harold Perrineau",6.8
1945,The Thirteenth Floor,https://www.imdb.com/title/tt0139809/,1999,100,"Mystery, Sci-Fi, Thriller",A computer scientist running a virtual reality simulation of 1937 becomes the primary suspect when his colleague and mentor is murdered.,Josef Rusnak,"Craig Bierko, Gretchen Mol, Armin Mueller-Stahl, Vincent D'Onofrio",7.1
1946,Superstar,https://www.imdb.com/title/tt0167427/,1999,81,"Comedy, Romance","A nerdy Catholic schoolgirl, Mary Katherine Gallagher, dreams of superstardom.",Bruce McCulloch,"Molly Shannon, Will Ferrell, Elaine Hendrix, Harland Williams",5.2
1947,Analyze This,https://www.imdb.com/title/tt0122933/,1999,103,"Comedy, Crime",A comedy about a psychiatrist whose number one patient is an insecure mob boss.,Harold Ramis,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri",6.7
1948,A Midsummer Night'S Dream,https://www.imdb.com/title/tt0140379/,1999,116,"Comedy, Fantasy, Romance","Lovers' lives are complicated by city law, feuding faerie royalty, and... love.",Michael Hoffman,"Kevin Kline, Michelle Pfeiffer, Rupert Everett, Stanley Tucci",6.4
1949,American Psycho,https://www.imdb.com/title/tt0144084/,2000,101,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",7.6
1950,Gladiator,https://www.imdb.com/title/tt0172495/,2000,155,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",8.5
1951,The Replacements,https://www.imdb.com/title/tt0191397/,2000,118,"Comedy, Sport","During a pro football strike, the owners hire substitute players.",Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",6.6
1952,Requiem For A Dream,https://www.imdb.com/title/tt0180093/,2000,102,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",8.3
1953,Snatch,https://www.imdb.com/title/tt0208092/,2000,104,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina",8.3
1954,Memento,https://www.imdb.com/title/tt0209144/,2000,113,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",8.4
1955,X-Men,https://www.imdb.com/title/tt0120903/,2000,104,"Action, Adventure, Sci-Fi","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen",7.4
1956,Almost Famous,https://www.imdb.com/title/tt0181875/,2000,122,"Adventure, Comedy, Drama",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand",7.9
1957,Cast Away,https://www.imdb.com/title/tt0162222/,2000,143,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",7.8
1958,Malèna,https://www.imdb.com/title/tt0213847/,2000,108,"Comedy, Drama, Romance","Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",Giuseppe Tornatore,"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana",7.5
